date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:11	11313/11313	---M--	200	added ('OK')	image/png	etag:%223dc09f5-2c31-4eaded8b19a80%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/img/user2.png	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/img/user2.png	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:12	12210/12210	---M--	200	added ('OK')	image/png	etag:%223dc09f6-2fb2-4eadedb50fd80%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/img/user3.png	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/img/user3.png	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:12	12017/12017	---M--	200	added ('OK')	image/png	etag:%223dc09f7-2ef1-4eadede4bee00%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/img/user4.png	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/img/user4.png	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:13	11337/11337	---M--	200	added ('OK')	image/png	etag:%223dc09f8-2c49-4eadee32f2680%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/img/user5.png	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/img/user5.png	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:13	4327/4327	---M--	200	added ('OK')	image/png	etag:%223dc09ef-10e7-4eae23b956e80%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/img/user-avatar.png	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/img/user-avatar.png	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:13	47484/47484	---M-Z	200	added ('OK')	text/html	etag:%223dc0ae5-b97c-54e32759b5a00-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/index-transparent.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/index-transparent.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:13	49507/49507	---M-Z	200	added ('OK')	text/html	etag:%223dc0ae2-c163-54e32759b5a00-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/index-dashboard-v2.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/index-dashboard-v2.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:14	49600/49600	---M-Z	200	added ('OK')	text/html	etag:%223dc0ae1-c1c0-54e32759b5a00-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/index-dashboard-v2-transparent.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/index-dashboard-v2-transparent.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:14	39892/39892	---M-Z	200	added ('OK')	text/html	etag:%223dc0ae3-9bd4-54e32759b5a00-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/index-dashboard-v3.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/index-dashboard-v3.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:14	43980/43980	---M-Z	200	added ('OK')	text/html	etag:%223dc0ae4-abcc-54e32759b5a00-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/index-dashboard-v4.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/index-dashboard-v4.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:15	25706/25706	---M-Z	200	added ('OK')	text/html	etag:%223dc0aea-646a-54e32759b5a00-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/nav-default-fixed.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/nav-default-fixed.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:15	25624/25624	---M-Z	200	added ('OK')	text/html	etag:%223dc0aeb-6418-54e32759b5a00-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/nav-normal.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/nav-normal.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:15	26389/26389	---M-Z	200	added ('OK')	text/html	etag:%223dc0ae7-6715-54e32759b5a00-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/layout-collapsed.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/layout-collapsed.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:16	26510/26510	---M-Z	200	added ('OK')	text/html	etag:%223dc0ae8-678e-54e32759b5a00-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/layout-minified.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/layout-minified.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:16	12190/12190	---M-Z	200	added ('OK')	text/html	etag:%223dc0ae9-2f9e-54e32759b5a00-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/layout-ontop-navigation.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/layout-ontop-navigation.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:16	37233/37233	---M-Z	200	added ('OK')	text/html	etag:%223dc0af8-9171-54e3275aa9c40-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/page-profile.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/page-profile.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:17	29372/29372	---M-Z	200	added ('OK')	text/html	etag:%223dc0af3-72bc-54e3275aa9c40-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/page-invoice.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/page-invoice.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:17	31759/31759	---M-Z	200	added ('OK')	text/html	etag:%223dc0af4-7c0f-54e3275aa9c40-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/page-knowledgebase.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/page-knowledgebase.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:17	29428/29428	---M-Z	200	added ('OK')	text/html	etag:%223dc0af7-72f4-54e3275aa9c40-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/page-new-message.html	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/page-new-message.html	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
